,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2017-10-31,1074.1754113909892,975.6004486214231,1184.613342554604,1074.1754113909892,1074.1754113909892,2.3385236637066718,2.3385236637066718,2.3385236637066718,37.24389010817667,37.24389010817667,37.24389010817667,3.029222474568654,3.029222474568654,3.029222474568654,-37.93458891903866,-37.93458891903866,-37.93458891903866,0.0,0.0,0.0,1076.5139350546958
11,2017-11-01,1078.6422354703905,978.6194144266345,1186.2454180552095,1078.6422354703905,1078.6422354703905,-0.44353179042256147,-0.44353179042256147,-0.44353179042256147,37.24389010817667,37.24389010817667,37.24389010817667,6.089135608063139,6.089135608063139,6.089135608063139,-43.77655750666237,-43.77655750666237,-43.77655750666237,0.0,0.0,0.0,1078.1987036799678
12,2017-11-02,1083.1090595497915,979.4292304532275,1173.2484668087168,1083.1090595497915,1083.1090595497915,-6.333038043843519,-6.333038043843519,-6.333038043843519,37.24389010817667,37.24389010817667,37.24389010817667,5.622399861996045,5.622399861996045,5.622399861996045,-49.19932801401624,-49.19932801401624,-49.19932801401624,0.0,0.0,0.0,1076.776021505948
13,2017-11-03,1087.5758836291927,968.0525153520766,1173.2095691768272,1087.5758836291927,1087.5758836291927,-19.005615036184683,-19.005615036184683,-19.005615036184683,37.24389010817667,37.24389010817667,37.24389010817667,-2.071396110378496,-2.071396110378496,-2.071396110378496,-54.178109033982864,-54.178109033982864,-54.178109033982864,0.0,0.0,0.0,1068.570268593008
14,2017-11-06,1100.976355867396,965.4481764367067,1172.0947240064984,1100.976355867396,1100.976355867396,-32.41090134655441,-32.41090134655441,-32.41090134655441,37.24389010817667,37.24389010817667,37.24389010817667,-3.358388697158778,-3.358388697158778,-3.358388697158778,-66.29640275757231,-66.29640275757231,-66.29640275757231,0.0,0.0,0.0,1068.5654545208415
15,2017-11-07,1105.4431799467973,970.4242787877695,1175.5868689738502,1105.4431799467973,1105.4431799467973,-29.104649265337343,-29.104649265337343,-29.104649265337343,37.24389010817667,37.24389010817667,37.24389010817667,3.0292224745709064,3.0292224745709064,3.0292224745709064,-69.37776184808492,-69.37776184808492,-69.37776184808492,0.0,0.0,0.0,1076.3385306814598
16,2017-11-08,1109.9100040261985,983.1948545018371,1185.2825225331444,1109.9100040261985,1109.9100040261985,-28.654337035047902,-28.654337035047902,-28.654337035047902,37.24389010817667,37.24389010817667,37.24389010817667,6.089135608064448,6.089135608064448,6.089135608064448,-71.98736275128901,-71.98736275128901,-71.98736275128901,0.0,0.0,0.0,1081.2556669911505
17,2017-11-09,1114.3768281055995,989.4785957540435,1189.4119705651729,1114.3768281055995,1114.3768281055995,-31.273223260199323,-31.273223260199323,-31.273223260199323,37.24389010817667,37.24389010817667,37.24389010817667,5.622399862005142,5.622399862005142,5.622399862005142,-74.13951323038114,-74.13951323038114,-74.13951323038114,0.0,0.0,0.0,1083.1036048454002
18,2017-11-10,1118.8436521850008,984.9190958032128,1185.695396205627,1118.8436521850008,1118.8436521850008,-40.68246850198715,-40.68246850198715,-40.68246850198715,37.24389010817667,37.24389010817667,37.24389010817667,-2.071396110386321,-2.071396110386321,-2.071396110386321,-75.8549624997775,-75.8549624997775,-75.8549624997775,0.0,0.0,0.0,1078.1611836830136
19,2017-11-13,1132.244124423204,991.5969373362972,1188.6683856464088,1132.244124423204,1132.244124423204,-44.79392060246753,-44.79392060246753,-44.79392060246753,37.24389010817667,37.24389010817667,37.24389010817667,-3.3583886971523302,-3.3583886971523302,-3.3583886971523302,-78.67942201349187,-78.67942201349187,-78.67942201349187,0.0,0.0,0.0,1087.4502038207365
20,2017-11-14,1136.7109485026053,998.161839920724,1197.782882364256,1136.7109485026053,1136.7109485026053,-38.700813678896225,-38.700813678896225,-38.700813678896225,37.24389010817667,37.24389010817667,37.24389010817667,3.029222474566583,3.029222474566583,3.029222474566583,-78.97392626163948,-78.97392626163948,-78.97392626163948,0.0,0.0,0.0,1098.010134823709
21,2017-11-15,1141.1777725820066,996.5436775644027,1201.241294376479,1141.1777725820066,1141.1777725820066,-35.68741225841802,-35.68741225841802,-35.68741225841802,37.24389010817667,37.24389010817667,37.24389010817667,6.089135608062248,6.089135608062248,6.089135608062248,-79.02043797465694,-79.02043797465694,-79.02043797465694,0.0,0.0,0.0,1105.4903603235884
22,2017-11-16,1145.6445966614078,1008.5864416027199,1202.500373684031,1145.6445966614078,1145.6445966614078,-36.00388635831657,-36.00388635831657,-36.00388635831657,37.24389010817667,37.24389010817667,37.24389010817667,5.622399862009238,5.622399862009238,5.622399862009238,-78.87017632850248,-78.87017632850248,-78.87017632850248,0.0,0.0,0.0,1109.6407103030913
23,2017-11-17,1150.1114207408089,1013.7137412359881,1206.8189825531213,1150.1114207408089,1150.1114207408089,-43.40481479246912,-43.40481479246912,-43.40481479246912,37.24389010817667,37.24389010817667,37.24389010817667,-2.071396110389394,-2.071396110389394,-2.071396110389394,-78.57730879025638,-78.57730879025638,-78.57730879025638,0.0,0.0,0.0,1106.7066059483398
24,2017-11-20,1163.5118929790124,1018.6930217779857,1218.5052502878846,1163.5118929790124,1163.5118929790124,-43.52619538370215,-43.52619538370215,-43.52619538370215,37.24389010817667,37.24389010817667,37.24389010817667,-3.3583886971629955,-3.3583886971629955,-3.3583886971629955,-77.41169679471582,-77.41169679471582,-77.41169679471582,0.0,0.0,0.0,1119.9856975953103
25,2017-11-21,1167.9787170584134,1029.4177265184148,1234.105498338044,1167.9787170584134,1167.9787170584134,-36.84666627778338,-36.84666627778338,-36.84666627778338,37.24389010817667,37.24389010817667,37.24389010817667,3.0292224745688356,3.0292224745688356,3.0292224745688356,-77.11977886052888,-77.11977886052888,-77.11977886052888,0.0,0.0,0.0,1131.13205078063
